number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.0,0.0,0.9808219178082191,0.0,125
0.9605263157894737,0.5,0.09315068493150686,0.0,65
0.013157894736842105,0.0,0.0,0.5,85
0.039473684210526314,0.0,0.0,0.5,130
0.22368421052631576,1.0,0.0,0.0,90
0.039473684210526314,0.0,0.0,0.5,190
0.6184210526315789,1.0,0.2054794520547945,0.0,97
0.09210526315789473,0.0,0.005479452054794521,0.5,189
0.039473684210526314,0.0,0.0,0.5,130
0.013157894736842105,0.0,0.0,0.5,225
0.013157894736842105,0.0,0.0,0.5,200
0.0,0.0,0.0,0.0,80
0.2763157894736842,0.0,0.0,0.5,135
0.3157894736842105,1.0,0.40821917808219177,0.0,150
0.0,0.0,0.0,0.5,94
0.43421052631578944,0.0,0.0,0.0,68
0.0,0.0,0.016438356164383564,0.0,75
0.0,0.0,0.0,0.5,120
0.06578947368421052,0.0,0.0,0.5,135
0.10526315789473684,1.0,0.2602739726027397,0.0,61
0.6184210526315789,0.0,0.0273972602739726,0.0,70
0.10526315789473684,0.0,0.0,0.5,200
0.0,0.0,0.0,0.0,60
0.013157894736842105,0.0,0.24657534246575344,0.0,107
0.0,0.0,0.0,0.5,100
0.7894736842105263,0.5,0.8136986301369863,0.5,255
0.039473684210526314,1.0,0.23013698630136986,0.0,60
0.0,0.5,0.0,0.0,60
0.0,0.0,0.0,1.0,100
0.0,0.0,0.0,0.5,250
0.11842105263157894,0.0,0.9315068493150686,0.5,125
0.0,0.0,0.29315068493150687,0.5,155
0.07894736842105263,0.0,0.0,0.5,67
0.23684210526315788,1.0,0.9260273972602739,0.0,62
0.0,0.0,0.0,0.0,110
0.18421052631578946,0.0,0.0,0.0,89
0.48684210526315785,1.0,0.8904109589041096,0.0,70
0.47368421052631576,0.0,0.0,0.5,99
0.07894736842105263,0.0,0.024657534246575342,0.5,210
0.13157894736842105,0.0,0.0,0.5,175
0.039473684210526314,0.0,1.0,0.0,120
0.0,0.0,0.0,0.5,200
